"","Bas","Bmem","Bnv","CD4mem","CD4nv","CD8mem","CD8nv","Eos","Mono","Neu","NK","Treg"
"cg24130568",0.0231679872120175,0.955690720706279,0.718471454063147,0.984636973752955,0.985358208059454,0.985983295776232,0.985376006026188,0.977350549086301,0.975023404622413,0.986619363853584,0.987352713852055,0.98368642423904
"cg06768361",0.0146626562091522,0.990056227182041,0.991153686765874,0.986975875577364,0.9894577622709,0.988168612035633,0.988423718689185,0.424698157019912,0.975492018371607,0.985234875894837,0.985511940465113,0.988034271914764
"cg11294011",0.0646697301464264,0.987652470615228,0.986796147866472,0.984729472546275,0.986219434368461,0.986381796455768,0.986265726580333,0.985874492283147,0.989991174091544,0.989430727751673,0.988075109702167,0.982147744762982
"cg12486498",0.0512410891383232,0.985980564146604,0.985420454379873,0.974899506852957,0.980999837765109,0.958578187074359,0.97020710051339,0.871729944329525,0.983398530456303,0.971454171672108,0.975786204489954,0.946830375341565
"cg12646067",0.0770370769805797,0.991366655103094,0.991277544778604,0.989385760732819,0.990974859541994,0.990254004048068,0.990816962606803,0.961899391162518,0.993898198712395,0.992691328135357,0.992261002600376,0.989183691877623
"cg01782059",0.0745712323414138,0.992139888159613,0.992862367987861,0.98977133987886,0.990039912890814,0.990291032572094,0.989977032300392,0.918678452270164,0.993361047678731,0.991669766615019,0.9928441631766,0.989661968102179
"cg21081729",0.0766663558019707,0.971814216035981,0.977362401861946,0.977540326439345,0.980425549468753,0.979903693278091,0.982893657469935,0.971251406927794,0.986591269095699,0.984584017850068,0.984231360482934,0.976307305833789
"cg26676468",0.089120553353732,0.990317875813893,0.990937654552861,0.989054943302294,0.989540090835438,0.98903082342852,0.989892696552534,0.987997110750541,0.99391620351263,0.992601768521262,0.992527259215924,0.987914743653323
"cg05201777",0.0668943681668315,0.937440763625507,0.94742186286285,0.960151793993342,0.964338112236814,0.972102594293186,0.973315339290552,0.926430148401894,0.977553732410614,0.976204803767407,0.972895165094858,0.944182707658188
"cg27383562",0.0513983966464502,0.971400080154494,0.976416179245651,0.972322971656959,0.97875120730794,0.976347461361116,0.978446247706196,0.58474340140694,0.982502658464064,0.973680128087737,0.96946528632409,0.969600089050963
"cg26673070",0.0945534148068521,0.978635091841768,0.986999489898418,0.982559425977869,0.986398345132178,0.987302267468981,0.987469025884515,0.915854580225834,0.989104582779795,0.987100485958065,0.988083895789761,0.984819958684638
"cg26009797",0.077259684579541,0.962742175001549,0.980068862967392,0.930461998162292,0.978751700611949,0.964005584543455,0.979101416459173,0.87176368310874,0.972783306900697,0.964796989566007,0.975634609577644,0.858195779266376
"cg03380342",0.105474407614728,0.982248412544656,0.982508453894572,0.979672574868332,0.982540945322532,0.982856779543907,0.98263019950707,0.96130662754276,0.985852138117616,0.983565439055527,0.983973252764345,0.979851076260845
"cg12087639",0.108641833810559,0.983185416934157,0.984653599310238,0.983696499767156,0.983508597039006,0.982948259099122,0.982939897930742,0.977621263884555,0.988637008292277,0.987695219288834,0.985616137644649,0.981140665804043
"cg26425521",0.0633504776631289,0.982818883589979,0.985444602851499,0.984173655003369,0.987756438597501,0.982753624478979,0.985032680230994,0.401293455656034,0.989781980757129,0.983854527205923,0.990173842008551,0.975820656242594
"cg09982510",0.0802965991903289,0.977096197601136,0.977119484270822,0.976047101679561,0.977716781799099,0.976907403992666,0.97801851829488,0.68550790370584,0.986373407015329,0.982215740351721,0.976126163464235,0.957010651180128
